BEDWARS PRACTICE GAMEMODE LEADERBORADS

Players Scanned: 1948 players
API Requests: 3999 requests
Time Elapsed: 0h 6m 26s

**GROUND FIGHT 2V2**
1) Xitharis - 145 wins
2) proximitea - 95 wins
3) _drip_ - 67 wins
4) RYgamer1 - 38 wins
5) BabyNutDu - 22 wins
6) eulah - 20 wins
7) iLet - 18 wins
8) ThighsAreCracked - 17 wins
9) bwpenjoyer - 17 wins
10) Mythaks - 16 wins
11) MyTableLikesMe - 15 wins
12) UICHA - 15 wins
13) Groonk - 15 wins
14) tryhardchief - 14 wins
15) Gooey_God - 14 wins
16) blockysumo - 14 wins
17) trashnoob - 9 wins
18) yairtk - 8 wins
19) FBI_Director - 7 wins
20) Qrector - 6 wins
21) Txmato - 6 wins
22) Nov0 - 6 wins
23) degraderr - 6 wins
24) ObamaFootFungus - 6 wins
25) carburettor - 6 wins

**PEARL FIGHT 2V2**
1) cuwrsed - 4542 wins
2) PS1 - 1839 wins
3) Pocahcntas - 1027 wins
4) eulah - 728 wins
5) _lightninq - 617 wins
6) Firefiend1 - 500 wins
7) WarningImBad - 482 wins
8) d8vision - 460 wins
9) WarriorYusuf - 449 wins
10) Diger1953 - 433 wins
11) KnightL - 422 wins
12) KZfr - 409 wins
13) Spylow95 - 387 wins
14) rozig - 385 wins
15) InSouled - 376 wins
16) degraderr - 366 wins
17) sirokv - 343 wins
18) poopology - 333 wins
19) trashnoob - 325 wins
20) rarme - 306 wins
21) milbye - 294 wins
22) Gooey_God - 285 wins
23) RobotWantsMusic - 282 wins
24) yairtk - 256 wins
25) apeo - 250 wins

**BEDWARS NORMAL 2V2**
1) apeo - 1536 wins
2) milbye - 762 wins
3) 18por - 733 wins
4) rozig - 713 wins
5) _lightninq - 629 wins
6) Gooey_God - 627 wins
7) laquigga - 607 wins
8) Milbae - 561 wins
9) mooooy - 560 wins
10) LemmeB - 549 wins
11) DinoDmmy - 503 wins
12) Jubatus78 - 484 wins
13) WarriorYusuf - 479 wins
14) snappick - 475 wins
15) afveey - 468 wins
16) Uxuva27 - 443 wins
17) Rithym - 440 wins
18) Remic_ - 418 wins
19) mellowmor - 407 wins
20) _yeven - 406 wins
21) vxrco - 402 wins
22) FBI_Director - 401 wins
23) rikq - 401 wins
24) chnki - 400 wins
25) FirestarAD - 397 wins

**VOID FIGHT SINGLE**
1) IMightBeWrong - 4883 wins
2) clientssss - 3521 wins
3) kacks_ - 3400 wins
4) merryhyun - 2691 wins
5) IyxdAlonso_DAB - 2430 wins
6) 1egos - 2302 wins
7) CommentxD - 2287 wins
8) setid - 2202 wins
9) sharpeyz - 2073 wins
10) 6xx_ - 2022 wins
11) keshe - 1709 wins
12) wormsurfer - 1667 wins
13) JiGuMii - 1667 wins
14) socwy - 1663 wins
15) WetPorcupine - 1638 wins
16) VideoGqmes - 1587 wins
17) noLess - 1551 wins
18) Tiaty - 1482 wins
19) smtle05 - 1457 wins
20) rapgodair - 1455 wins
21) Hacker1o1 - 1419 wins
22) Halway - 1403 wins
23) TJelly - 1374 wins
24) Harv0lD - 1351 wins
25) SheNeverLoveMe - 1335 wins

